model,prune_ratio,stage,dataset,psnr,ssim,lpips,total_params_M,nonzero_params_M,sparsity_pct,model_size_mb,gmacs,latency_ms
drsformer,0.3,prune_only,Rain100H,17.11546046257019,0.3835050949454308,0.6038921654224396,33.655424,23.564762,29.982275665283552,135.003457,242.989216768,112.54486083984375
drsformer,0.3,prune_only,Rain100L,17.796710939407347,0.6772378000617028,0.4527684411406517,33.655424,23.564762,29.982275665283552,135.003457,242.989216768,112.54486083984375
drsformer,0.3,prune_ft,Rain100H,27.741130771636964,0.8444295448064804,0.3044935781508684,33.655424,28.069063,16.59869446303811,135.017941,242.989216768,113.04742431640625
drsformer,0.3,prune_ft,Rain100L,31.60886106491089,0.9421835905313491,0.16095723859965802,33.655424,28.069063,16.59869446303811,135.017941,242.989216768,113.04742431640625
drsformer,0.5,prune_only,Rain100H,14.164202356338501,0.39589605033397673,0.5413209775090218,33.655424,16.843056,49.954408537536175,135.003457,242.989216768,111.81207275390625
drsformer,0.5,prune_only,Rain100L,26.85742218017578,0.8340154784917831,0.29665078811347484,33.655424,16.843056,49.954408537536175,135.003457,242.989216768,111.81207275390625
drsformer,0.5,prune_ft,Rain100H,25.50671546936035,0.7877836960554123,0.36761879712343215,33.655424,22.478077,33.211131138921324,135.017941,242.989216768,112.54383850097656
drsformer,0.5,prune_ft,Rain100L,29.299297008514404,0.9101014548540115,0.20740500546991825,33.655424,22.478077,33.211131138921324,135.017941,242.989216768,112.54383850097656
drsformer,0.7,prune_only,Rain100H,15.061185569763184,0.40368118971586225,0.5563653135299682,33.655424,10.123254,69.92088407503051,135.003457,242.989216768,111.09968566894531
drsformer,0.7,prune_only,Rain100L,25.908107318878173,0.8317156147956848,0.3147308093309402,33.655424,10.123254,69.92088407503051,135.003457,242.989216768,111.09968566894531
drsformer,0.7,prune_ft,Rain100H,24.51250576019287,0.760217114686966,0.3791195504367352,33.655424,15.035278,55.32583990027877,135.017941,242.989216768,112.19628143310547
drsformer,0.7,prune_ft,Rain100L,28.825192241668702,0.8998310148715973,0.21570199385285377,33.655424,15.035278,55.32583990027877,135.017941,242.989216768,112.19628143310547
