variant,dataset,psnr,ssim,lpips,model_size_mb,latency_ms,device
fp32,Rain100H,33.8667798614502,0.940353199839592,0.11939468659460545,134.971977,238.3904473099392,cuda
fp32,Rain100L,40.49843254089355,0.9861971533298493,0.03451173333451152,134.971977,238.3904473099392,cuda
fp32,Test100,24.025937819967464,0.8379411405446578,0.25099959680620504,134.971977,238.3904473099392,cuda
fp32,Test1200,30.00843449115753,0.8838864372670651,0.2175797784049064,134.971977,238.3904473099392,cuda
fp32,Test2800,30.150662029130118,0.9029414919444493,0.16727141964116266,134.971977,238.3904473099392,cuda
fp16,Rain100H,33.86656854629516,0.9403426039218903,0.11930206749588251,67.686005,149.42769930974464,cuda
fp16,Rain100L,40.4985126876831,0.986193580031395,0.0345076768565923,67.686005,149.42769930974464,cuda
fp16,Test100,24.02584527463329,0.8379380782039798,0.25101353068436894,67.686005,149.42769930974464,cuda
dynamic_int8,Rain100H,33.86636657714844,0.940353074669838,0.11940029859542847,134.958893,16728.33757920307,cpu
dynamic_int8,Rain100L,40.496716537475585,0.986194019317627,0.034507986102253196,134.958893,16728.33757920307,cpu
dynamic_int8,Test100,24.025042232202026,0.8379213481533284,0.2510422011267166,134.958893,16728.33757920307,cpu
