model,variant,dataset,psnr,ssim,lpips,params_m,gmacs,size_mb,latency_ms,device
restormer,fp32_baseline,Rain100H,31.47901481628418,0.9083546441793442,0.20336525455117227,26.126644,154.882031616,104.700429,46.352725982666016,gpu
restormer,fp32_baseline,Rain100L,39.14714569091797,0.9794501441717148,0.08592414006590843,26.126644,154.882031616,104.700429,46.352725982666016,gpu
restormer,fp32_baseline,Test100,32.06977235054483,0.9261428354954233,0.16429857658792515,26.126644,154.882031616,104.700429,46.352725982666016,gpu
restormer,fp32_baseline,Test1200,33.21186041037242,0.92873294343551,0.16050480077508836,26.126644,154.882031616,104.700429,46.352725982666016,gpu
restormer,fp32_baseline,Test2800,34.25049721309117,0.9466743327464376,0.10582040344497987,26.126644,154.882031616,104.700429,46.352725982666016,gpu
nafnet_w32,fp32_baseline,Rain100H,30.22969778060913,0.8914917820692062,0.217317311540246,29.159715,16.064958464,116.866597,11.178567886352539,gpu
nafnet_w32,fp32_baseline,Rain100L,36.93532499313355,0.970092567205429,0.10123860578984022,29.159715,16.064958464,116.866597,11.178567886352539,gpu
nafnet_w32,fp32_baseline,Test100,30.76195023984325,0.9144809477183283,0.17723461825932776,29.159715,16.064958464,116.866597,11.178567886352539,gpu
nafnet_w32,fp32_baseline,Test1200,33.44761312643687,0.9307876754303773,0.1583783587285628,29.159715,16.064958464,116.866597,11.178567886352539,gpu
nafnet_w32,fp32_baseline,Test2800,33.616898157937186,0.9406810340285301,0.11650718380164887,29.159715,16.064958464,116.866597,11.178567886352539,gpu
nafnet_kd,fp32_baseline,Rain100H,30.434533443450928,0.8936945110559463,0.21361772820353508,29.159715,16.064958464,116.877217,11.256353378295898,gpu
nafnet_kd,fp32_baseline,Rain100L,37.32485210418701,0.9720422166585923,0.09787604555487633,29.159715,16.064958464,116.877217,11.256353378295898,gpu
nafnet_kd,fp32_baseline,Test100,30.812806285157496,0.9148575657484482,0.1768941716576109,29.159715,16.064958464,116.877217,11.256353378295898,gpu
nafnet_kd,fp32_baseline,Test1200,33.46308909416199,0.9311206036806107,0.1576792718640839,29.159715,16.064958464,116.877217,11.256353378295898,gpu
nafnet_kd,fp32_baseline,Test2800,33.63182691097259,0.9410533948242664,0.11563029196312917,29.159715,16.064958464,116.877217,11.256353378295898,gpu
drsformer,fp32_baseline,Rain100H,33.8667798614502,0.940353199839592,0.11939468659460545,33.655424,242.989216768,134.971977,109.23600769042969,gpu
drsformer,fp32_baseline,Rain100L,40.49843254089355,0.9861971533298493,0.03451173333451152,33.655424,242.989216768,134.971977,109.23600769042969,gpu
drsformer,fp32_baseline,Test100,24.025937819967464,0.8379411405446578,0.25099959680620504,33.655424,242.989216768,134.971977,109.23600769042969,gpu
drsformer,fp32_baseline,Test1200,30.00843449115753,0.8838864372670651,0.2175797784049064,33.655424,242.989216768,134.971977,109.23600769042969,gpu
drsformer,fp32_baseline,Test2800,30.150662029130118,0.9029414919444493,0.16727141964116266,33.655424,242.989216768,134.971977,109.23600769042969,gpu
restormer,fp32,Rain100H,31.47901481628418,0.9083546441793442,0.20336525455117227,,,104.700429,100.60905106947757,cuda
restormer,fp32,Rain100L,39.14714569091797,0.9794501441717148,0.08592414006590843,,,104.700429,100.60905106947757,cuda
restormer,fp32,Test100,32.06977235054483,0.9261428354954233,0.16429857658792515,,,104.700429,100.60905106947757,cuda
restormer,fp32,Test1200,33.21186041037242,0.92873294343551,0.16050480077508836,,,104.700429,100.60905106947757,cuda
restormer,fp32,Test2800,34.25049721309117,0.9466743327464376,0.10582040344497987,,,104.700429,100.60905106947757,cuda
restormer,fp16,Rain100H,31.477094287872315,0.9083277034759522,0.20328553684055806,,,52.446735,47.49087302858243,cuda
restormer,fp16,Rain100L,39.14662370681763,0.9794445633888245,0.0858972056210041,,,52.446735,47.49087302858243,cuda
restormer,fp16,Test100,32.069721338700276,0.9261419529817543,0.16427879727312497,,,52.446735,47.49087302858243,cuda
restormer,dynamic_int8,Rain100H,31.478773860931398,0.9083557486534118,0.20338891491293906,,,104.698479,10255.342817402561,cpu
restormer,dynamic_int8,Rain100L,39.14682683944702,0.9794503837823868,0.08592927355319262,,,104.698479,10255.342817402561,cpu
restormer,dynamic_int8,Test100,32.0689264998144,0.9261397524755828,0.16430577301249213,,,104.698479,10255.342817402561,cpu
restormer,static_int8,Rain100H,29.46874185562134,0.8633830201625824,0.24084130346775054,,,29.407461,15109.597280202433,cpu
restormer,static_int8,Rain100L,36.606268424987796,0.9611803954839706,0.10907169200479984,,,29.407461,15109.597280202433,cpu
restormer,static_int8,Test100,31.0043688015062,0.8954870238596079,0.22877709385083647,,,29.407461,15109.597280202433,cpu
nafnet_w32,fp32,Rain100H,30.22969778060913,0.8914917820692062,0.217317311540246,,,116.866597,11.549799949279986,cuda
nafnet_w32,fp32,Rain100L,36.93532499313355,0.970092567205429,0.10123860578984022,,,116.866597,11.549799949279986,cuda
nafnet_w32,fp32,Test100,30.76195023984325,0.9144809477183283,0.17723461825932776,,,116.866597,11.549799949279986,cuda
nafnet_w32,fp32,Test1200,33.44761312643687,0.9307876754303773,0.1583783587285628,,,116.866597,11.549799949279986,cuda
nafnet_w32,fp32,Test2800,33.616898157937186,0.9406810340285301,0.11650718380164887,,,116.866597,11.549799949279986,cuda
nafnet_w32,fp16,Rain100H,30.227894229888918,0.891485549211502,0.21729623705148696,,,58.558463,12.967950871097855,cuda
nafnet_w32,fp16,Rain100L,36.93282913208008,0.9700770974159241,0.10129293460398912,,,58.558463,12.967950871097855,cuda
