model,prune_ratio,stage,dataset,psnr,ssim,lpips,total_params_M,nonzero_params_M,sparsity_pct,model_size_mb,gmacs,latency_ms
restormer,0.3,prune_only,Rain100H,13.193274068832398,0.2523685435950756,0.8739121627807617,26.126644,18.295434,29.97403723187716,104.703559,154.882031616,48.902225494384766
restormer,0.3,prune_only,Rain100L,14.541559953689575,0.3701317648589611,0.837661681175232,26.126644,18.295434,29.97403723187716,104.703559,154.882031616,48.902225494384766
restormer,0.3,prune_ft,Rain100H,28.368051223754883,0.8592386960983276,0.27450686171650884,26.126644,22.864058,12.487581642709255,104.709903,154.882031616,48.354732513427734
restormer,0.3,prune_ft,Rain100L,33.96795812606811,0.95589182138443,0.14447933554649353,26.126644,22.864058,12.487581642709255,104.709903,154.882031616,48.354732513427734
restormer,0.5,prune_only,Rain100H,13.930751905441284,0.4557343456149101,0.8650596302747726,26.126644,13.079668,49.93743551601959,104.703559,154.882031616,47.94398880004883
restormer,0.5,prune_only,Rain100L,14.86313868522644,0.5171523451805115,0.8316610527038574,26.126644,13.079668,49.93743551601959,104.703559,154.882031616,47.94398880004883
restormer,0.5,prune_ft,Rain100H,26.163335304260254,0.8090669804811478,0.3511338175833225,26.126644,18.54778,29.0081803081942,104.709903,154.882031616,48.01791000366211
restormer,0.5,prune_ft,Rain100L,31.490138511657715,0.934182196855545,0.17974750645458698,26.126644,18.54778,29.0081803081942,104.709903,154.882031616,48.01791000366211
restormer,0.7,prune_only,Rain100H,13.585200443267823,0.3945821103453636,0.540486107468605,26.126644,7.863902,69.900833800162,104.703559,154.882031616,47.802433013916016
restormer,0.7,prune_only,Rain100L,26.728176708221437,0.8230423414707184,0.2756425955146551,26.126644,7.863902,69.900833800162,104.703559,154.882031616,47.802433013916016
restormer,0.7,prune_ft,Rain100H,25.135478343963623,0.790378087759018,0.36073900654911994,26.126644,12.835286,50.872810147372924,104.709903,154.882031616,47.829891204833984
restormer,0.7,prune_ft,Rain100L,29.250587615966797,0.9104782980680466,0.20716350317001342,26.126644,12.835286,50.872810147372924,104.709903,154.882031616,47.829891204833984
